Date,Overall index,Food and non-alcaholic beverages,Alcoholic beverages and tobacco,"Clothing, footwear and cloth","Housing, water, electricity and fuels","Furnishings, household equipment and tools",Health,Transport,Communication,Recreation and culture,Education services,    Restaurants and hotels,    Miscellaneous goods and services
1/1/06,35.9,33.1,30.9,34.9,36,39.5,38.4,45.2,108.4,66.9,20.5,29.9,42.2
2/1/06,36.1,33.5,31,34.9,36.1,39.7,38.4,45.3,108.3,67,20.5,29.9,42.2
3/1/06,36.2,33.9,30.9,35,35.9,39.8,38.5,45.3,97.3,67.6,20.5,30,42.3
4/1/06,37.1,35.8,31,35.1,35.9,39.9,38.8,45.3,96.7,67.6,20.7,30.2,42.3
5/1/06,37.5,36.6,30.9,35.1,36.2,39.9,38.8,46,92.2,68.4,20.7,30.3,43.4
6/1/06,37.5,36.6,31.2,35,36.1,40,38.8,46.6,91.6,68.5,20.7,30.4,43.6
7/1/06,37.5,36.5,31.4,34.9,36,40.1,38.9,47.5,91.4,68.7,20.7,30.4,43.9
8/1/06,37,35.1,31.4,35.1,36.1,40.2,39,47.9,91.1,68.3,21.4,30.8,43.9
9/1/06,37.2,33.8,31.5,35.3,38.7,40.6,39.7,49.2,91.8,69.3,23.6,31.1,44.2
10/1/06,37.3,33.5,31.6,35.9,39.7,40.8,40.9,49.3,91.8,69.4,23.6,31.9,44.8
11/1/06,37.4,33.3,31.6,36.1,40.5,41.2,41.4,49.6,91.8,69.5,23.6,31.8,45.1
12/1/06,37.7,34,31.9,36.3,40.5,41.3,41.4,49.1,91.8,69.8,23.6,32.4,45.2
1/1/07,37.8,34.5,32,36.2,39.2,41.3,41.6,48.9,90,70,23.6,32.7,45.3
2/1/07,38.4,36.1,31.9,36.1,39,41.4,41.6,48.8,89.8,70,23.6,32.7,45.6
3/1/07,38.8,36.9,32,36.3,38.9,41.5,41.6,48.6,89.8,69.9,23.6,33,45.8
4/1/07,39.3,38,31.9,36.3,38.6,42.2,41.8,48.8,89.7,69.9,23.6,33.1,46
5/1/07,39.6,38.8,31.9,36,38.6,42.3,41.8,48.8,89.9,70,23.6,33.3,46.2
6/1/07,39.7,39,32.1,36.1,38.4,42.2,42,49.7,87.8,69.2,23.6,33.4,46.3
7/1/07,39.9,39.3,32.2,36.1,38.8,42.5,42.1,49.7,86.8,69.8,23.6,33.4,46.4
8/1/07,41,40.2,33.3,36.3,39.8,43.8,44.4,52,87.7,69.6,26.4,33.8,47.3
9/1/07,41.9,40.5,35.1,37.3,41.7,45.6,47.6,52.5,87.6,69.7,26.7,34.8,48.3
10/1/07,42.8,40.6,35.7,38,45.1,46.4,48.7,56.9,87.8,70.9,26.7,35.1,49
11/1/07,43.6,41.5,35.6,38.9,45.4,47.3,49.2,59.3,87.9,72.2,26.7,35.4,49.5
12/1/07,44.4,43.6,35.7,39.2,44.8,47.6,50.5,57,87.9,73,26.7,36.1,49.5
