,Date,Overall index,Food and non-alcaholic beverages,Alcoholic beverages and tobacco,"Clothing, footwear and cloth","Housing, water, electricity and fuels","Furnishings, household equipment and tools",Health,Transport,Communication,Recreation and culture,Education services,    Restaurants and hotels,    Miscellaneous goods and services
0,2006-01-01,35.9,33.1,30.9,34.9,36.0,39.5,38.4,45.2,108.4,66.9,20.5,29.9,42.2
1,2006-02-01,36.1,33.5,31.0,34.9,36.1,39.7,38.4,45.3,108.3,67.0,20.5,29.9,42.2
2,2006-03-01,36.2,33.9,30.9,35.0,35.9,39.8,38.5,45.3,97.3,67.6,20.5,30.0,42.3
3,2006-04-01,37.1,35.8,31.0,35.1,35.9,39.9,38.8,45.3,96.7,67.6,20.7,30.2,42.3
4,2006-05-01,37.5,36.6,30.9,35.1,36.2,39.9,38.8,46.0,92.2,68.4,20.7,30.3,43.4
5,2006-06-01,37.5,36.6,31.2,35.0,36.1,40.0,38.8,46.6,91.6,68.5,20.7,30.4,43.6
6,2006-07-01,37.5,36.5,31.4,34.9,36.0,40.1,38.9,47.5,91.4,68.7,20.7,30.4,43.9
7,2006-08-01,37.0,35.1,31.4,35.1,36.1,40.2,39.0,47.9,91.1,68.3,21.4,30.8,43.9
8,2006-09-01,37.2,33.8,31.5,35.3,38.7,40.6,39.7,49.2,91.8,69.3,23.6,31.1,44.2
9,2006-10-01,37.3,33.5,31.6,35.9,39.7,40.8,40.9,49.3,91.8,69.4,23.6,31.9,44.8
10,2006-11-01,37.4,33.3,31.6,36.1,40.5,41.2,41.4,49.6,91.8,69.5,23.6,31.8,45.1
11,2006-12-01,37.7,34.0,31.9,36.3,40.5,41.3,41.4,49.1,91.8,69.8,23.6,32.4,45.2
12,2007-01-01,37.8,34.5,32.0,36.2,39.2,41.3,41.6,48.9,90.0,70.0,23.6,32.7,45.3
13,2007-02-01,38.4,36.1,31.9,36.1,39.0,41.4,41.6,48.8,89.8,70.0,23.6,32.7,45.6
14,2007-03-01,38.8,36.9,32.0,36.3,38.9,41.5,41.6,48.6,89.8,69.9,23.6,33.0,45.8
15,2007-04-01,39.3,38.0,31.9,36.3,38.6,42.2,41.8,48.8,89.7,69.9,23.6,33.1,46.0
16,2007-05-01,39.6,38.8,31.9,36.0,38.6,42.3,41.8,48.8,89.9,70.0,23.6,33.3,46.2
17,2007-06-01,39.7,39.0,32.1,36.1,38.4,42.2,42.0,49.7,87.8,69.2,23.6,33.4,46.3
18,2007-07-01,39.9,39.3,32.2,36.1,38.8,42.5,42.1,49.7,86.8,69.8,23.6,33.4,46.4
19,2007-08-01,41.0,40.2,33.3,36.3,39.8,43.8,44.4,52.0,87.7,69.6,26.4,33.8,47.3
20,2007-09-01,41.9,40.5,35.1,37.3,41.7,45.6,47.6,52.5,87.6,69.7,26.7,34.8,48.3
21,2007-10-01,42.8,40.6,35.7,38.0,45.1,46.4,48.7,56.9,87.8,70.9,26.7,35.1,49.0
22,2007-11-01,43.6,41.5,35.6,38.9,45.4,47.3,49.2,59.3,87.9,72.2,26.7,35.4,49.5
23,2007-12-01,44.4,43.6,35.7,39.2,44.8,47.6,50.5,57.0,87.9,73.0,26.7,36.1,49.5
24,2008-01-01,45.3,45.3,36.2,39.5,45.0,47.9,50.8,57.1,88.0,73.6,26.7,36.5,49.6
25,2008-02-01,46.5,47.7,37.7,39.6,45.8,48.2,51.4,57.2,87.8,74.0,26.7,36.5,49.8
26,2008-03-01,48.1,50.7,38.1,39.9,45.3,49.2,52.7,59.5,87.7,75.2,26.7,37.8,50.4
27,2008-04-01,50.8,56.3,38.4,40.5,45.7,50.3,55.6,59.7,87.2,75.7,26.7,38.7,51.8
28,2008-05-01,53.0,60.5,38.6,41.2,45.9,50.8,60.7,60.3,86.9,76.2,26.7,41.8,53.6
29,2008-06-01,53.1,60.2,38.8,41.5,46.5,51.2,61.2,60.9,86.8,75.9,26.7,42.2,53.9
30,2008-07-01,53.1,59.2,39.2,42.0,48.6,51.4,61.5,62.1,85.4,75.8,26.7,42.5,54.3
31,2008-08-01,55.1,58.0,39.6,42.7,50.6,52.4,62.3,76.6,85.5,76.6,37.4,45.7,54.9
32,2008-09-01,55.3,56.8,39.9,43.4,54.8,53.6,63.8,77.8,85.5,77.3,37.4,46.5,55.9
33,2008-10-01,54.7,55.0,40.0,44.1,55.5,54.7,63.9,76.6,85.3,78.4,37.4,46.9,56.1
34,2008-11-01,54.2,53.6,39.7,45.4,54.5,54.7,63.9,75.5,85.3,79.3,37.4,47.5,56.4
35,2008-12-01,54.2,54.0,40.1,45.7,55.0,54.9,64.2,71.8,85.3,80.0,37.4,47.5,56.7
36,2009-01-01,54.7,54.9,43.1,46.0,54.5,55.2,64.4,70.4,85.3,80.8,37.4,47.7,57.7
37,2009-02-01,55.0,55.9,44.1,46.1,53.9,55.3,65.4,68.5,85.3,81.4,37.4,47.7,58.3
