,ds,y
0,2006-01-01,30.9
1,2006-02-01,31.0
2,2006-03-01,30.9
3,2006-04-01,31.0
4,2006-05-01,30.9
5,2006-06-01,31.2
6,2006-07-01,31.4
7,2006-08-01,31.4
8,2006-09-01,31.5
9,2006-10-01,31.6
10,2006-11-01,31.6
11,2006-12-01,31.9
12,2007-01-01,32.0
13,2007-02-01,31.9
14,2007-03-01,32.0
15,2007-04-01,31.9
16,2007-05-01,31.9
17,2007-06-01,32.1
18,2007-07-01,32.2
19,2007-08-01,33.3
20,2007-09-01,35.1
21,2007-10-01,35.7
22,2007-11-01,35.6
23,2007-12-01,35.7
24,2008-01-01,36.2
25,2008-02-01,37.7
26,2008-03-01,38.1
27,2008-04-01,38.4
28,2008-05-01,38.6
29,2008-06-01,38.8
30,2008-07-01,39.2
31,2008-08-01,39.6
32,2008-09-01,39.9
33,2008-10-01,40.0
34,2008-11-01,39.7
35,2008-12-01,40.1
36,2009-01-01,43.1
37,2009-02-01,44.1
38,2009-03-01,45.3
39,2009-04-01,46.2
40,2009-05-01,47.2
41,2009-06-01,47.5
42,2009-07-01,47.7
43,2009-08-01,48.0
44,2009-09-01,48.2
45,2009-10-01,48.2
46,2009-11-01,48.2
47,2009-12-01,48.2
48,2010-01-01,48.4
49,2010-02-01,48.5
50,2010-03-01,48.4
51,2010-04-01,48.5
52,2010-05-01,48.8
53,2010-06-01,48.8
54,2010-07-01,48.9
55,2010-08-01,49.2
56,2010-09-01,49.2
57,2010-10-01,49.5
58,2010-11-01,49.8
59,2010-12-01,50.3
60,2011-01-01,51.0
61,2011-02-01,51.1
62,2011-03-01,51.1
63,2011-04-01,51.2
64,2011-05-01,51.3
65,2011-06-01,51.3
66,2011-07-01,51.2
67,2011-08-01,51.3
68,2011-09-01,51.3
69,2011-10-01,51.4
70,2011-11-01,51.5
71,2011-12-01,51.7
72,2012-01-01,52.0
73,2012-02-01,52.3
74,2012-03-01,53.5
75,2012-04-01,53.7
76,2012-05-01,53.9
77,2012-06-01,54.1
78,2012-07-01,54.4
79,2012-08-01,54.5
80,2012-09-01,76.3
81,2012-10-01,78.8
82,2012-11-01,79.2
83,2012-12-01,79.8
84,2013-01-01,79.9
85,2013-02-01,80.2
86,2013-03-01,80.4
87,2013-04-01,80.8
88,2013-05-01,81.0
89,2013-06-01,81.5
90,2013-07-01,81.7
91,2013-08-01,82.3
92,2013-09-01,86.3
93,2013-10-01,87.9
94,2013-11-01,88.6
95,2013-12-01,90.5
96,2014-01-01,91.1
97,2014-02-01,91.5
98,2014-03-01,91.7
99,2014-04-01,93.5
100,2014-05-01,94.7
101,2014-06-01,94.9
102,2014-07-01,95.7
103,2014-08-01,96.1
104,2014-09-01,96.8
105,2014-10-01,97.4
106,2014-11-01,98.0
107,2014-12-01,99.8
108,2015-01-01,100.0
109,2015-02-01,100.1
110,2015-03-01,100.4
111,2015-04-01,100.4
112,2015-05-01,100.4
113,2015-06-01,99.5
114,2015-07-01,99.5
115,2015-08-01,99.9
116,2015-09-01,99.7
117,2015-10-01,99.8
118,2015-11-01,100.0
119,2015-12-01,100.3
120,2016-01-01,100.1
121,2016-02-01,100.1
122,2016-03-01,100.1
123,2016-04-01,100.0
124,2016-05-01,100.0
125,2016-06-01,100.7
126,2016-07-01,100.8
127,2016-08-01,100.6
128,2016-09-01,101.1
129,2016-10-01,100.9
130,2016-11-01,101.1
131,2016-12-01,101.2
132,2017-01-01,101.4
133,2017-02-01,101.5
134,2017-03-01,102.6
135,2017-04-01,102.4
136,2017-05-01,102.6
137,2017-06-01,103.1
138,2017-07-01,103.1
139,2017-08-01,103.1
140,2017-09-01,103.3
141,2017-10-01,104.3
142,2017-11-01,104.6
143,2017-12-01,105.0
144,2018-01-01,109.8
145,2018-02-01,110.6
146,2018-03-01,110.4
147,2018-04-01,111.1
148,2018-05-01,111.2
149,2018-06-01,111.6
150,2018-07-01,112.6
151,2018-08-01,111.4
152,2018-09-01,112.2
153,2018-10-01,112.7
154,2018-11-01,113.1
155,2018-12-01,113.4
156,2019-01-01,114.3
157,2019-02-01,114.6
158,2019-03-01,114.8
159,2019-04-01,115.2
160,2019-05-01,115.6
161,2019-06-01,115.9
162,2019-07-01,116.1
163,2019-08-01,116.1
164,2019-09-01,116.3
165,2019-10-01,116.4
166,2019-11-01,116.6
167,2019-12-01,117.2
168,2020-01-01,117.4
169,2020-02-01,118.7
170,2020-03-01,120.0
171,2020-04-01,120.9
172,2020-05-01,121.1
173,2020-06-01,121.2
174,2020-07-01,121.4
175,2020-08-01,121.4
176,2020-09-01,121.7
177,2020-10-01,121.8
178,2020-11-01,122.0
179,2020-12-01,122.1
180,2021-01-01,122.2
181,2021-02-01,123.0
182,2021-03-01,123.2
183,2021-04-01,123.5
184,2021-05-01,124.0
185,2021-06-01,124.7
186,2021-07-01,125.5
187,2021-08-01,126.0
188,2021-09-01,126.4
189,2021-10-01,127.4
190,2021-11-01,129.5
191,2021-12-01,130.4
192,2022-01-01,131.8
193,2022-02-01,132.2
194,2022-03-01,132.4
195,2022-04-01,134.1
196,2022-05-01,135.2
197,2022-06-01,136.2
198,2022-07-01,137.2
