,ds,y
0,2006-01-01,108.4
1,2006-02-01,108.3
2,2006-03-01,97.3
3,2006-04-01,96.7
4,2006-05-01,92.2
5,2006-06-01,91.6
6,2006-07-01,91.4
7,2006-08-01,91.1
8,2006-09-01,91.8
9,2006-10-01,91.8
10,2006-11-01,91.8
11,2006-12-01,91.8
12,2007-01-01,90.0
13,2007-02-01,89.8
14,2007-03-01,89.8
15,2007-04-01,89.7
16,2007-05-01,89.9
17,2007-06-01,87.8
18,2007-07-01,86.8
19,2007-08-01,87.7
20,2007-09-01,87.6
21,2007-10-01,87.8
22,2007-11-01,87.9
23,2007-12-01,87.9
24,2008-01-01,88.0
25,2008-02-01,87.8
26,2008-03-01,87.7
27,2008-04-01,87.2
28,2008-05-01,86.9
29,2008-06-01,86.8
30,2008-07-01,85.4
31,2008-08-01,85.5
32,2008-09-01,85.5
33,2008-10-01,85.3
34,2008-11-01,85.3
35,2008-12-01,85.3
36,2009-01-01,85.3
37,2009-02-01,85.3
38,2009-03-01,85.2
39,2009-04-01,88.5
40,2009-05-01,88.4
41,2009-06-01,90.0
42,2009-07-01,89.9
43,2009-08-01,89.9
44,2009-09-01,89.6
45,2009-10-01,89.6
46,2009-11-01,89.3
47,2009-12-01,89.3
48,2010-01-01,89.6
49,2010-02-01,97.2
50,2010-03-01,101.7
51,2010-04-01,101.9
52,2010-05-01,101.8
53,2010-06-01,102.5
54,2010-07-01,102.4
55,2010-08-01,102.4
56,2010-09-01,102.4
57,2010-10-01,102.4
58,2010-11-01,102.4
59,2010-12-01,102.4
60,2011-01-01,102.4
61,2011-02-01,102.5
62,2011-03-01,102.5
63,2011-04-01,102.5
64,2011-05-01,102.4
65,2011-06-01,102.4
66,2011-07-01,102.4
67,2011-08-01,102.4
68,2011-09-01,102.3
69,2011-10-01,102.3
70,2011-11-01,102.3
71,2011-12-01,102.3
72,2012-01-01,104.9
73,2012-02-01,104.7
74,2012-03-01,101.7
75,2012-04-01,101.7
76,2012-05-01,101.3
77,2012-06-01,101.2
78,2012-07-01,101.1
79,2012-08-01,101.0
80,2012-09-01,100.8
81,2012-10-01,100.8
82,2012-11-01,100.8
83,2012-12-01,100.8
84,2013-01-01,100.8
85,2013-02-01,100.6
86,2013-03-01,100.6
87,2013-04-01,100.6
88,2013-05-01,100.6
89,2013-06-01,100.6
90,2013-07-01,100.6
91,2013-08-01,100.5
92,2013-09-01,100.4
93,2013-10-01,100.4
94,2013-11-01,100.4
95,2013-12-01,100.4
96,2014-01-01,100.5
97,2014-02-01,100.5
98,2014-03-01,100.4
99,2014-04-01,100.4
100,2014-05-01,100.5
101,2014-06-01,100.6
102,2014-07-01,100.5
103,2014-08-01,100.5
104,2014-09-01,100.5
105,2014-10-01,100.4
106,2014-11-01,100.4
107,2014-12-01,100.4
108,2015-01-01,100.3
109,2015-02-01,100.3
110,2015-03-01,100.3
111,2015-04-01,100.2
112,2015-05-01,100.1
113,2015-06-01,100.1
114,2015-07-01,100.2
115,2015-08-01,99.4
116,2015-09-01,99.8
117,2015-10-01,99.7
118,2015-11-01,99.8
119,2015-12-01,99.8
120,2016-01-01,99.6
121,2016-02-01,99.6
122,2016-03-01,99.5
123,2016-04-01,99.5
124,2016-05-01,99.4
125,2016-06-01,99.0
126,2016-07-01,99.1
127,2016-08-01,98.7
128,2016-09-01,98.7
129,2016-10-01,98.7
130,2016-11-01,98.7
131,2016-12-01,98.7
132,2017-01-01,98.4
133,2017-02-01,98.4
134,2017-03-01,99.0
135,2017-04-01,99.0
136,2017-05-01,98.9
137,2017-06-01,98.8
138,2017-07-01,98.8
139,2017-08-01,98.7
140,2017-09-01,98.7
141,2017-10-01,98.5
142,2017-11-01,98.4
143,2017-12-01,98.2
144,2018-01-01,98.1
145,2018-02-01,98.1
146,2018-03-01,98.0
147,2018-04-01,97.8
148,2018-05-01,97.9
149,2018-06-01,97.6
150,2018-07-01,97.6
151,2018-08-01,98.2
152,2018-09-01,98.3
153,2018-10-01,98.5
154,2018-11-01,98.6
155,2018-12-01,98.6
156,2019-01-01,98.6
157,2019-02-01,98.6
158,2019-03-01,98.5
159,2019-04-01,98.6
160,2019-05-01,98.6
161,2019-06-01,98.6
162,2019-07-01,98.6
163,2019-08-01,98.6
164,2019-09-01,98.6
165,2019-10-01,98.6
166,2019-11-01,98.6
167,2019-12-01,98.6
168,2020-01-01,98.6
169,2020-02-01,98.6
170,2020-03-01,98.6
171,2020-04-01,98.6
172,2020-05-01,98.7
173,2020-06-01,98.7
174,2020-07-01,98.7
175,2020-08-01,98.7
176,2020-09-01,98.7
177,2020-10-01,98.7
178,2020-11-01,98.7
179,2020-12-01,98.8
180,2021-01-01,98.8
181,2021-02-01,98.9
182,2021-03-01,98.9
183,2021-04-01,98.9
184,2021-05-01,98.9
185,2021-06-01,99.0
186,2021-07-01,99.0
187,2021-08-01,99.1
188,2021-09-01,99.9
189,2021-10-01,100.3
190,2021-11-01,100.9
191,2021-12-01,101.1
192,2022-01-01,101.1
193,2022-02-01,102.2
194,2022-03-01,102.2
195,2022-04-01,102.2
196,2022-05-01,102.2
197,2022-06-01,102.2
198,2022-07-01,102.2
