,ds,y
0,2006-01-01,20.5
1,2006-02-01,20.5
2,2006-03-01,20.5
3,2006-04-01,20.7
4,2006-05-01,20.7
5,2006-06-01,20.7
6,2006-07-01,20.7
7,2006-08-01,21.4
8,2006-09-01,23.6
9,2006-10-01,23.6
10,2006-11-01,23.6
11,2006-12-01,23.6
12,2007-01-01,23.6
13,2007-02-01,23.6
14,2007-03-01,23.6
15,2007-04-01,23.6
16,2007-05-01,23.6
17,2007-06-01,23.6
18,2007-07-01,23.6
19,2007-08-01,26.4
20,2007-09-01,26.7
21,2007-10-01,26.7
22,2007-11-01,26.7
23,2007-12-01,26.7
24,2008-01-01,26.7
25,2008-02-01,26.7
26,2008-03-01,26.7
27,2008-04-01,26.7
28,2008-05-01,26.7
29,2008-06-01,26.7
30,2008-07-01,26.7
31,2008-08-01,37.4
32,2008-09-01,37.4
33,2008-10-01,37.4
34,2008-11-01,37.4
35,2008-12-01,37.4
36,2009-01-01,37.4
37,2009-02-01,37.4
38,2009-03-01,37.4
39,2009-04-01,37.4
40,2009-05-01,37.4
41,2009-06-01,37.4
42,2009-07-01,37.4
43,2009-08-01,41.1
44,2009-09-01,41.1
45,2009-10-01,41.1
46,2009-11-01,41.1
47,2009-12-01,41.1
48,2010-01-01,41.1
49,2010-02-01,41.1
50,2010-03-01,41.1
51,2010-04-01,41.1
52,2010-05-01,41.1
53,2010-06-01,41.1
54,2010-07-01,41.1
55,2010-08-01,48.5
56,2010-09-01,48.9
57,2010-10-01,48.9
58,2010-11-01,48.9
59,2010-12-01,48.9
60,2011-01-01,48.9
61,2011-02-01,48.9
62,2011-03-01,48.9
63,2011-04-01,48.9
64,2011-05-01,48.9
65,2011-06-01,48.9
66,2011-07-01,48.9
67,2011-08-01,53.1
68,2011-09-01,53.7
69,2011-10-01,53.7
70,2011-11-01,53.7
71,2011-12-01,53.7
72,2012-01-01,53.7
73,2012-02-01,53.7
74,2012-03-01,53.7
75,2012-04-01,53.7
76,2012-05-01,53.7
77,2012-06-01,53.7
78,2012-07-01,53.7
79,2012-08-01,61.9
80,2012-09-01,61.9
81,2012-10-01,61.9
82,2012-11-01,61.9
83,2012-12-01,61.9
84,2013-01-01,61.9
85,2013-02-01,61.9
86,2013-03-01,61.9
87,2013-04-01,61.9
88,2013-05-01,61.9
89,2013-06-01,61.9
90,2013-07-01,61.9
91,2013-08-01,78.7
92,2013-09-01,78.7
93,2013-10-01,78.7
94,2013-11-01,78.7
95,2013-12-01,78.7
96,2014-01-01,78.7
97,2014-02-01,78.7
98,2014-03-01,78.7
99,2014-04-01,78.7
100,2014-05-01,78.7
101,2014-06-01,78.7
102,2014-07-01,78.7
103,2014-08-01,91.9
104,2014-09-01,91.9
105,2014-10-01,91.9
106,2014-11-01,91.9
107,2014-12-01,91.9
108,2015-01-01,91.9
109,2015-02-01,91.9
110,2015-03-01,91.9
111,2015-04-01,91.9
112,2015-05-01,91.9
113,2015-06-01,91.9
114,2015-07-01,91.8
115,2015-08-01,111.4
116,2015-09-01,111.4
117,2015-10-01,111.4
118,2015-11-01,111.4
119,2015-12-01,111.4
120,2016-01-01,112.3
121,2016-02-01,112.3
122,2016-03-01,112.3
123,2016-04-01,112.3
124,2016-05-01,112.3
125,2016-06-01,112.3
126,2016-07-01,112.3
127,2016-08-01,116.4
128,2016-09-01,116.4
129,2016-10-01,116.3
130,2016-11-01,116.3
131,2016-12-01,116.3
132,2017-01-01,116.3
133,2017-02-01,116.3
134,2017-03-01,116.3
135,2017-04-01,116.4
136,2017-05-01,116.3
137,2017-06-01,116.3
138,2017-07-01,116.3
139,2017-08-01,122.7
140,2017-09-01,122.7
141,2017-10-01,122.7
142,2017-11-01,122.7
143,2017-12-01,122.7
144,2018-01-01,122.7
145,2018-02-01,122.7
146,2018-03-01,122.7
147,2018-04-01,122.7
148,2018-05-01,122.7
149,2018-06-01,122.7
150,2018-07-01,122.8
151,2018-08-01,129.7
152,2018-09-01,129.7
153,2018-10-01,129.7
154,2018-11-01,129.7
155,2018-12-01,129.7
156,2019-01-01,129.6
157,2019-02-01,129.6
158,2019-03-01,129.7
159,2019-04-01,129.7
160,2019-05-01,129.7
161,2019-06-01,129.7
162,2019-07-01,129.7
163,2019-08-01,142.2
164,2019-09-01,142.2
165,2019-10-01,142.2
166,2019-11-01,142.2
167,2019-12-01,142.2
168,2020-01-01,142.2
169,2020-02-01,142.2
170,2020-03-01,142.2
171,2020-04-01,142.2
172,2020-05-01,142.2
173,2020-06-01,142.2
174,2020-07-01,142.2
175,2020-08-01,142.7
176,2020-09-01,142.7
177,2020-10-01,142.7
178,2020-11-01,142.7
179,2020-12-01,142.7
180,2021-01-01,142.7
181,2021-02-01,142.7
182,2021-03-01,143.3
183,2021-04-01,143.3
184,2021-05-01,143.3
185,2021-06-01,143.3
186,2021-07-01,143.3
187,2021-08-01,147.3
188,2021-09-01,147.1
189,2021-10-01,147.9
190,2021-11-01,147.9
191,2021-12-01,148.0
192,2022-01-01,148.1
193,2022-02-01,148.2
194,2022-03-01,148.2
195,2022-04-01,148.2
196,2022-05-01,148.2
197,2022-06-01,148.2
198,2022-07-01,148.2
