,ds,y
0,2006-01-01,33.1
1,2006-02-01,33.5
2,2006-03-01,33.9
3,2006-04-01,35.8
4,2006-05-01,36.6
5,2006-06-01,36.6
6,2006-07-01,36.5
7,2006-08-01,35.1
8,2006-09-01,33.8
9,2006-10-01,33.5
10,2006-11-01,33.3
11,2006-12-01,34.0
12,2007-01-01,34.5
13,2007-02-01,36.1
14,2007-03-01,36.9
15,2007-04-01,38.0
16,2007-05-01,38.8
17,2007-06-01,39.0
18,2007-07-01,39.3
19,2007-08-01,40.2
20,2007-09-01,40.5
21,2007-10-01,40.6
22,2007-11-01,41.5
23,2007-12-01,43.6
24,2008-01-01,45.3
25,2008-02-01,47.7
26,2008-03-01,50.7
27,2008-04-01,56.3
28,2008-05-01,60.5
29,2008-06-01,60.2
30,2008-07-01,59.2
31,2008-08-01,58.0
32,2008-09-01,56.8
33,2008-10-01,55.0
34,2008-11-01,53.6
35,2008-12-01,54.0
36,2009-01-01,54.9
37,2009-02-01,55.9
38,2009-03-01,57.6
39,2009-04-01,60.1
40,2009-05-01,60.4
41,2009-06-01,58.2
42,2009-07-01,55.7
43,2009-08-01,53.6
44,2009-09-01,52.6
45,2009-10-01,52.0
46,2009-11-01,53.5
47,2009-12-01,54.2
48,2010-01-01,56.7
49,2010-02-01,60.3
50,2010-03-01,62.8
51,2010-04-01,65.5
52,2010-05-01,69.7
53,2010-06-01,66.9
54,2010-07-01,62.5
55,2010-08-01,61.4
56,2010-09-01,60.1
57,2010-10-01,59.8
58,2010-11-01,61.1
59,2010-12-01,64.3
60,2011-01-01,67.4
61,2011-02-01,68.0
62,2011-03-01,67.0
63,2011-04-01,66.4
64,2011-05-01,68.3
65,2011-06-01,68.5
66,2011-07-01,69.5
67,2011-08-01,68.1
68,2011-09-01,67.8
69,2011-10-01,67.4
70,2011-11-01,68.0
71,2011-12-01,69.9
72,2012-01-01,72.9
73,2012-02-01,78.1
74,2012-03-01,83.4
75,2012-04-01,84.0
76,2012-05-01,85.1
77,2012-06-01,85.6
78,2012-07-01,86.7
79,2012-08-01,84.9
80,2012-09-01,82.6
81,2012-10-01,80.8
82,2012-11-01,80.7
83,2012-12-01,82.1
84,2013-01-01,85.7
85,2013-02-01,88.3
86,2013-03-01,89.9
87,2013-04-01,92.4
88,2013-05-01,93.4
89,2013-06-01,92.5
90,2013-07-01,92.0
91,2013-08-01,89.6
92,2013-09-01,90.1
93,2013-10-01,89.8
94,2013-11-01,91.1
95,2013-12-01,93.0
96,2014-01-01,94.6
97,2014-02-01,96.3
98,2014-03-01,97.9
99,2014-04-01,100.0
100,2014-05-01,102.7
101,2014-06-01,103.5
102,2014-07-01,102.5
103,2014-08-01,98.8
104,2014-09-01,98.4
105,2014-10-01,97.8
106,2014-11-01,98.0
107,2014-12-01,99.1
108,2015-01-01,99.9
109,2015-02-01,100.4
110,2015-03-01,102.3
111,2015-04-01,104.3
112,2015-05-01,104.6
113,2015-06-01,103.8
114,2015-07-01,102.7
115,2015-08-01,101.2
116,2015-09-01,98.0
117,2015-10-01,95.5
118,2015-11-01,94.0
119,2015-12-01,93.3
120,2016-01-01,95.4
121,2016-02-01,97.8
122,2016-03-01,99.6
123,2016-04-01,103.8
124,2016-05-01,104.2
125,2016-06-01,103.3
126,2016-07-01,102.3
127,2016-08-01,98.2
128,2016-09-01,95.8
129,2016-10-01,93.4
130,2016-11-01,93.3
131,2016-12-01,94.9
132,2017-01-01,98.0
133,2017-02-01,100.6
134,2017-03-01,103.3
135,2017-04-01,105.8
136,2017-05-01,106.4
137,2017-06-01,104.0
138,2017-07-01,104.0
139,2017-08-01,104.1
140,2017-09-01,103.0
141,2017-10-01,101.8
142,2017-11-01,101.4
143,2017-12-01,101.8
144,2018-01-01,103.7
145,2018-02-01,106.7
146,2018-03-01,109.4
147,2018-04-01,112.3
148,2018-05-01,113.9
149,2018-06-01,115.2
150,2018-07-01,115.6
151,2018-08-01,110.0
152,2018-09-01,107.4
153,2018-10-01,107.2
154,2018-11-01,109.1
155,2018-12-01,111.1
156,2019-01-01,114.9
157,2019-02-01,116.1
158,2019-03-01,118.3
159,2019-04-01,121.6
160,2019-05-01,126.8
161,2019-06-01,127.6
162,2019-07-01,126.6
163,2019-08-01,124.6
164,2019-09-01,124.1
165,2019-10-01,122.3
166,2019-11-01,119.5
167,2019-12-01,120.4
168,2020-01-01,123.8
169,2020-02-01,128.1
170,2020-03-01,130.7
171,2020-04-01,131.1
172,2020-05-01,132.7
173,2020-06-01,134.3
174,2020-07-01,136.0
175,2020-08-01,130.1
176,2020-09-01,127.1
177,2020-10-01,126.8
178,2020-11-01,128.7
179,2020-12-01,130.6
180,2021-01-01,134.2
181,2021-02-01,139.4
182,2021-03-01,141.3
183,2021-04-01,147.4
184,2021-05-01,150.1
185,2021-06-01,151.7
186,2021-07-01,151.3
187,2021-08-01,148.0
188,2021-09-01,146.7
189,2021-10-01,149.9
190,2021-11-01,152.8
191,2021-12-01,157.3
192,2022-01-01,162.7
193,2022-02-01,164.5
194,2022-03-01,166.7
195,2022-04-01,172.2
196,2022-05-01,177.1
197,2022-06-01,181.3
198,2022-07-01,183.9
