,ds,"Furnishings, household equipment and tools"
0,2006-01-01,39.5
1,2006-02-01,39.7
2,2006-03-01,39.8
3,2006-04-01,39.9
4,2006-05-01,39.9
5,2006-06-01,40.0
6,2006-07-01,40.1
7,2006-08-01,40.2
8,2006-09-01,40.6
9,2006-10-01,40.8
10,2006-11-01,41.2
11,2006-12-01,41.3
12,2007-01-01,41.3
13,2007-02-01,41.4
14,2007-03-01,41.5
15,2007-04-01,42.2
16,2007-05-01,42.3
17,2007-06-01,42.2
18,2007-07-01,42.5
19,2007-08-01,43.8
20,2007-09-01,45.6
21,2007-10-01,46.4
22,2007-11-01,47.3
23,2007-12-01,47.6
24,2008-01-01,47.9
25,2008-02-01,48.2
26,2008-03-01,49.2
27,2008-04-01,50.3
28,2008-05-01,50.8
29,2008-06-01,51.2
30,2008-07-01,51.4
31,2008-08-01,52.4
32,2008-09-01,53.6
33,2008-10-01,54.7
34,2008-11-01,54.7
35,2008-12-01,54.9
36,2009-01-01,55.2
37,2009-02-01,55.3
38,2009-03-01,56.0
39,2009-04-01,57.1
40,2009-05-01,57.2
41,2009-06-01,57.9
42,2009-07-01,58.1
43,2009-08-01,58.8
44,2009-09-01,59.2
45,2009-10-01,59.4
46,2009-11-01,59.7
47,2009-12-01,59.9
48,2010-01-01,60.1
49,2010-02-01,60.8
50,2010-03-01,61.0
51,2010-04-01,61.5
52,2010-05-01,61.6
53,2010-06-01,62.2
54,2010-07-01,62.4
55,2010-08-01,62.7
56,2010-09-01,62.9
57,2010-10-01,64.1
58,2010-11-01,63.8
59,2010-12-01,63.9
60,2011-01-01,64.0
61,2011-02-01,64.0
62,2011-03-01,64.3
63,2011-04-01,64.7
64,2011-05-01,65.0
65,2011-06-01,65.4
66,2011-07-01,65.5
67,2011-08-01,66.0
68,2011-09-01,66.3
69,2011-10-01,66.9
70,2011-11-01,67.2
71,2011-12-01,67.5
72,2012-01-01,68.7
73,2012-02-01,69.4
74,2012-03-01,69.7
75,2012-04-01,70.2
76,2012-05-01,70.3
77,2012-06-01,70.8
78,2012-07-01,71.4
79,2012-08-01,72.0
80,2012-09-01,72.7
81,2012-10-01,73.4
82,2012-11-01,73.9
83,2012-12-01,74.3
84,2013-01-01,75.3
85,2013-02-01,75.6
86,2013-03-01,76.4
87,2013-04-01,76.8
88,2013-05-01,77.1
89,2013-06-01,77.7
90,2013-07-01,78.5
91,2013-08-01,79.9
92,2013-09-01,82.8
93,2013-10-01,84.8
94,2013-11-01,86.5
95,2013-12-01,87.9
96,2014-01-01,88.9
97,2014-02-01,89.3
98,2014-03-01,89.9
99,2014-04-01,90.6
100,2014-05-01,91.8
101,2014-06-01,92.4
102,2014-07-01,93.5
103,2014-08-01,94.7
104,2014-09-01,96.0
105,2014-10-01,96.8
106,2014-11-01,97.6
107,2014-12-01,97.9
108,2015-01-01,98.4
109,2015-02-01,98.8
110,2015-03-01,99.3
111,2015-04-01,99.6
112,2015-05-01,99.8
113,2015-06-01,99.8
114,2015-07-01,100.1
115,2015-08-01,100.6
116,2015-09-01,100.8
117,2015-10-01,100.8
118,2015-11-01,100.9
119,2015-12-01,101.2
120,2016-01-01,101.2
121,2016-02-01,101.3
122,2016-03-01,101.4
123,2016-04-01,101.5
124,2016-05-01,101.7
125,2016-06-01,101.8
126,2016-07-01,102.3
127,2016-08-01,102.6
128,2016-09-01,102.6
129,2016-10-01,102.2
130,2016-11-01,102.6
131,2016-12-01,102.9
132,2017-01-01,103.4
133,2017-02-01,103.6
134,2017-03-01,104.0
135,2017-04-01,104.2
136,2017-05-01,104.8
137,2017-06-01,105.0
138,2017-07-01,105.2
139,2017-08-01,105.4
140,2017-09-01,105.6
141,2017-10-01,106.7
142,2017-11-01,107.6
143,2017-12-01,108.5
144,2018-01-01,109.7
145,2018-02-01,109.9
146,2018-03-01,110.2
147,2018-04-01,110.7
148,2018-05-01,111.1
149,2018-06-01,111.3
150,2018-07-01,111.6
151,2018-08-01,111.9
152,2018-09-01,112.1
153,2018-10-01,112.6
154,2018-11-01,113.7
155,2018-12-01,114.0
156,2019-01-01,114.3
157,2019-02-01,114.6
158,2019-03-01,114.9
159,2019-04-01,115.2
160,2019-05-01,115.7
161,2019-06-01,116.1
162,2019-07-01,116.3
163,2019-08-01,116.7
164,2019-09-01,117.3
165,2019-10-01,117.6
166,2019-11-01,117.6
167,2019-12-01,118.5
168,2020-01-01,118.8
169,2020-02-01,119.3
170,2020-03-01,119.7
171,2020-04-01,119.1
172,2020-05-01,119.7
173,2020-06-01,120.1
174,2020-07-01,120.4
175,2020-08-01,120.7
176,2020-09-01,121.3
177,2020-10-01,121.9
178,2020-11-01,122.1
179,2020-12-01,122.4
180,2021-01-01,123.3
181,2021-02-01,124.4
182,2021-03-01,124.8
183,2021-04-01,125.1
184,2021-05-01,125.6
185,2021-06-01,126.1
186,2021-07-01,127.8
187,2021-08-01,128.9
188,2021-09-01,129.6
189,2021-10-01,130.5
190,2021-11-01,131.5
191,2021-12-01,134.0
192,2022-01-01,136.5
193,2022-02-01,139.8
194,2022-03-01,140.3
195,2022-04-01,142.4
196,2022-05-01,144.8
197,2022-06-01,147.2
198,2022-07-01,149.1
