,ds,y
0,2006-01-01,45.2
1,2006-02-01,45.3
2,2006-03-01,45.3
3,2006-04-01,45.3
4,2006-05-01,46.0
5,2006-06-01,46.6
6,2006-07-01,47.5
7,2006-08-01,47.9
8,2006-09-01,49.2
9,2006-10-01,49.3
10,2006-11-01,49.6
11,2006-12-01,49.1
12,2007-01-01,48.9
13,2007-02-01,48.8
14,2007-03-01,48.6
15,2007-04-01,48.8
16,2007-05-01,48.8
17,2007-06-01,49.7
18,2007-07-01,49.7
19,2007-08-01,52.0
20,2007-09-01,52.5
21,2007-10-01,56.9
22,2007-11-01,59.3
23,2007-12-01,57.0
24,2008-01-01,57.1
25,2008-02-01,57.2
26,2008-03-01,59.5
27,2008-04-01,59.7
28,2008-05-01,60.3
29,2008-06-01,60.9
30,2008-07-01,62.1
31,2008-08-01,76.6
32,2008-09-01,77.8
33,2008-10-01,76.6
34,2008-11-01,75.5
35,2008-12-01,71.8
36,2009-01-01,70.4
37,2009-02-01,68.5
38,2009-03-01,70.2
39,2009-04-01,70.5
40,2009-05-01,67.9
41,2009-06-01,68.1
42,2009-07-01,70.9
43,2009-08-01,72.1
44,2009-09-01,72.8
45,2009-10-01,72.8
46,2009-11-01,72.7
47,2009-12-01,72.8
48,2010-01-01,72.8
49,2010-02-01,72.1
50,2010-03-01,72.7
51,2010-04-01,72.7
52,2010-05-01,73.4
53,2010-06-01,73.5
54,2010-07-01,73.4
55,2010-08-01,73.3
56,2010-09-01,73.3
57,2010-10-01,73.3
58,2010-11-01,73.7
59,2010-12-01,73.7
60,2011-01-01,73.8
61,2011-02-01,74.9
62,2011-03-01,75.1
63,2011-04-01,75.2
64,2011-05-01,75.7
65,2011-06-01,80.4
66,2011-07-01,81.9
67,2011-08-01,82.8
68,2011-09-01,82.5
69,2011-10-01,82.6
70,2011-11-01,82.7
71,2011-12-01,83.0
72,2012-01-01,87.4
73,2012-02-01,87.6
74,2012-03-01,87.6
75,2012-04-01,85.9
76,2012-05-01,86.1
77,2012-06-01,86.2
78,2012-07-01,86.3
79,2012-08-01,86.7
80,2012-09-01,86.8
81,2012-10-01,87.5
82,2012-11-01,87.4
83,2012-12-01,88.3
84,2013-01-01,89.9
85,2013-02-01,90.1
86,2013-03-01,90.4
87,2013-04-01,90.4
88,2013-05-01,90.5
89,2013-06-01,89.7
90,2013-07-01,89.0
91,2013-08-01,89.8
92,2013-09-01,90.5
93,2013-10-01,90.7
94,2013-11-01,91.0
95,2013-12-01,91.0
96,2014-01-01,93.3
97,2014-02-01,93.8
98,2014-03-01,94.1
99,2014-04-01,94.4
100,2014-05-01,95.2
101,2014-06-01,95.8
102,2014-07-01,97.7
103,2014-08-01,97.9
104,2014-09-01,98.2
105,2014-10-01,98.4
106,2014-11-01,98.7
107,2014-12-01,98.9
108,2015-01-01,99.9
109,2015-02-01,100.0
110,2015-03-01,99.9
111,2015-04-01,99.9
112,2015-05-01,100.0
113,2015-06-01,100.0
114,2015-07-01,100.1
115,2015-08-01,99.9
116,2015-09-01,100.0
117,2015-10-01,100.0
118,2015-11-01,100.3
119,2015-12-01,100.0
120,2016-01-01,98.2
121,2016-02-01,97.6
122,2016-03-01,97.6
123,2016-04-01,97.4
124,2016-05-01,97.5
125,2016-06-01,97.1
126,2016-07-01,97.2
127,2016-08-01,98.1
128,2016-09-01,97.9
129,2016-10-01,98.1
130,2016-11-01,98.2
131,2016-12-01,98.3
132,2017-01-01,98.4
133,2017-02-01,99.7
134,2017-03-01,102.1
135,2017-04-01,105.0
136,2017-05-01,107.0
137,2017-06-01,107.1
138,2017-07-01,107.2
139,2017-08-01,107.3
140,2017-09-01,108.2
141,2017-10-01,108.5
142,2017-11-01,107.8
143,2017-12-01,108.6
144,2018-01-01,109.8
145,2018-02-01,111.2
146,2018-03-01,111.4
147,2018-04-01,111.4
148,2018-05-01,112.2
149,2018-06-01,112.3
150,2018-07-01,114.0
151,2018-08-01,113.4
152,2018-09-01,114.6
153,2018-10-01,117.5
154,2018-11-01,119.7
155,2018-12-01,119.0
156,2019-01-01,116.4
157,2019-02-01,116.6
158,2019-03-01,116.8
159,2019-04-01,117.6
160,2019-05-01,118.1
161,2019-06-01,117.7
162,2019-07-01,117.3
163,2019-08-01,117.3
164,2019-09-01,117.0
165,2019-10-01,116.6
166,2019-11-01,116.7
167,2019-12-01,117.3
168,2020-01-01,117.6
169,2020-02-01,118.3
170,2020-03-01,118.3
171,2020-04-01,113.0
172,2020-05-01,110.1
173,2020-06-01,109.2
174,2020-07-01,109.8
175,2020-08-01,110.4
176,2020-09-01,110.3
177,2020-10-01,111.4
178,2020-11-01,111.3
179,2020-12-01,111.3
180,2021-01-01,111.5
181,2021-02-01,112.0
182,2021-03-01,112.3
183,2021-04-01,112.4
184,2021-05-01,113.6
185,2021-06-01,114.6
186,2021-07-01,124.9
187,2021-08-01,128.3
188,2021-09-01,129.4
189,2021-10-01,129.9
190,2021-11-01,133.0
191,2021-12-01,135.3
192,2022-01-01,135.0
193,2022-02-01,136.1
194,2022-03-01,139.0
195,2022-04-01,141.1
196,2022-05-01,142.7
197,2022-06-01,145.8
198,2022-07-01,148.2
