,ds,y
0,2006-01-01,34.9
1,2006-02-01,34.9
2,2006-03-01,35.0
3,2006-04-01,35.1
4,2006-05-01,35.1
5,2006-06-01,35.0
6,2006-07-01,34.9
7,2006-08-01,35.1
8,2006-09-01,35.3
9,2006-10-01,35.9
10,2006-11-01,36.1
11,2006-12-01,36.3
12,2007-01-01,36.2
13,2007-02-01,36.1
14,2007-03-01,36.3
15,2007-04-01,36.3
16,2007-05-01,36.0
17,2007-06-01,36.1
18,2007-07-01,36.1
19,2007-08-01,36.3
20,2007-09-01,37.3
21,2007-10-01,38.0
22,2007-11-01,38.9
23,2007-12-01,39.2
24,2008-01-01,39.5
25,2008-02-01,39.6
26,2008-03-01,39.9
27,2008-04-01,40.5
28,2008-05-01,41.2
29,2008-06-01,41.5
30,2008-07-01,42.0
31,2008-08-01,42.7
32,2008-09-01,43.4
33,2008-10-01,44.1
34,2008-11-01,45.4
35,2008-12-01,45.7
36,2009-01-01,46.0
37,2009-02-01,46.1
38,2009-03-01,46.4
39,2009-04-01,46.7
40,2009-05-01,46.9
41,2009-06-01,47.1
42,2009-07-01,47.4
43,2009-08-01,47.9
44,2009-09-01,48.7
45,2009-10-01,49.3
46,2009-11-01,50.3
47,2009-12-01,50.7
48,2010-01-01,51.1
49,2010-02-01,51.9
50,2010-03-01,52.0
51,2010-04-01,52.3
52,2010-05-01,52.6
53,2010-06-01,52.6
54,2010-07-01,53.1
55,2010-08-01,53.3
56,2010-09-01,53.7
57,2010-10-01,54.5
58,2010-11-01,55.5
59,2010-12-01,56.0
60,2011-01-01,56.2
61,2011-02-01,56.6
62,2011-03-01,56.8
63,2011-04-01,57.4
64,2011-05-01,57.4
65,2011-06-01,58.0
66,2011-07-01,58.1
67,2011-08-01,58.6
68,2011-09-01,59.7
69,2011-10-01,61.0
70,2011-11-01,62.2
71,2011-12-01,63.0
72,2012-01-01,64.4
73,2012-02-01,65.0
74,2012-03-01,65.4
75,2012-04-01,66.7
76,2012-05-01,67.3
77,2012-06-01,67.6
78,2012-07-01,68.0
79,2012-08-01,68.6
80,2012-09-01,69.9
81,2012-10-01,71.4
82,2012-11-01,72.4
83,2012-12-01,73.1
84,2013-01-01,73.5
85,2013-02-01,73.8
86,2013-03-01,74.2
87,2013-04-01,74.7
88,2013-05-01,75.3
89,2013-06-01,75.7
90,2013-07-01,76.1
91,2013-08-01,77.7
92,2013-09-01,79.7
93,2013-10-01,82.2
94,2013-11-01,84.1
95,2013-12-01,86.0
96,2014-01-01,86.8
97,2014-02-01,87.5
98,2014-03-01,88.6
99,2014-04-01,89.2
100,2014-05-01,90.6
101,2014-06-01,91.5
102,2014-07-01,91.9
103,2014-08-01,93.4
104,2014-09-01,94.5
105,2014-10-01,95.5
106,2014-11-01,96.8
107,2014-12-01,98.2
108,2015-01-01,99.0
109,2015-02-01,99.1
110,2015-03-01,99.3
111,2015-04-01,99.6
112,2015-05-01,99.8
113,2015-06-01,99.9
114,2015-07-01,99.9
115,2015-08-01,100.3
116,2015-09-01,99.5
117,2015-10-01,100.3
118,2015-11-01,101.2
119,2015-12-01,102.0
120,2016-01-01,101.6
121,2016-02-01,101.9
122,2016-03-01,102.1
123,2016-04-01,102.3
124,2016-05-01,102.3
125,2016-06-01,102.4
126,2016-07-01,103.2
127,2016-08-01,102.8
128,2016-09-01,102.9
129,2016-10-01,102.9
130,2016-11-01,103.9
131,2016-12-01,104.4
132,2017-01-01,104.6
133,2017-02-01,103.9
134,2017-03-01,104.4
135,2017-04-01,104.9
136,2017-05-01,105.0
137,2017-06-01,105.1
138,2017-07-01,105.2
139,2017-08-01,105.5
140,2017-09-01,106.5
141,2017-10-01,107.6
142,2017-11-01,108.4
143,2017-12-01,108.8
144,2018-01-01,109.3
145,2018-02-01,108.5
146,2018-03-01,108.3
147,2018-04-01,108.0
148,2018-05-01,108.3
149,2018-06-01,107.9
150,2018-07-01,108.4
151,2018-08-01,109.2
152,2018-09-01,110.0
153,2018-10-01,111.4
154,2018-11-01,113.8
155,2018-12-01,114.3
156,2019-01-01,115.1
157,2019-02-01,115.5
158,2019-03-01,116.3
159,2019-04-01,117.0
160,2019-05-01,117.6
161,2019-06-01,118.5
162,2019-07-01,118.9
163,2019-08-01,119.3
164,2019-09-01,119.7
165,2019-10-01,120.4
166,2019-11-01,121.2
167,2019-12-01,122.4
168,2020-01-01,122.9
169,2020-02-01,123.3
170,2020-03-01,123.8
171,2020-04-01,123.2
172,2020-05-01,123.5
173,2020-06-01,123.7
174,2020-07-01,124.0
175,2020-08-01,124.4
176,2020-09-01,124.8
177,2020-10-01,126.3
178,2020-11-01,126.4
179,2020-12-01,126.9
180,2021-01-01,127.1
181,2021-02-01,127.0
182,2021-03-01,127.2
183,2021-04-01,127.2
184,2021-05-01,127.4
185,2021-06-01,127.7
186,2021-07-01,128.5
187,2021-08-01,129.3
188,2021-09-01,130.0
189,2021-10-01,131.5
190,2021-11-01,132.7
191,2021-12-01,135.3
192,2022-01-01,139.3
193,2022-02-01,141.2
194,2022-03-01,141.8
195,2022-04-01,143.5
196,2022-05-01,144.5
197,2022-06-01,145.8
198,2022-07-01,146.2
