,ds,y
0,2006-01-01,36.0
1,2006-02-01,36.1
2,2006-03-01,35.9
3,2006-04-01,35.9
4,2006-05-01,36.2
5,2006-06-01,36.1
6,2006-07-01,36.0
7,2006-08-01,36.1
8,2006-09-01,38.7
9,2006-10-01,39.7
10,2006-11-01,40.5
11,2006-12-01,40.5
12,2007-01-01,39.2
13,2007-02-01,39.0
14,2007-03-01,38.9
15,2007-04-01,38.6
16,2007-05-01,38.6
17,2007-06-01,38.4
18,2007-07-01,38.8
19,2007-08-01,39.8
20,2007-09-01,41.7
21,2007-10-01,45.1
22,2007-11-01,45.4
23,2007-12-01,44.8
24,2008-01-01,45.0
25,2008-02-01,45.8
26,2008-03-01,45.3
27,2008-04-01,45.7
28,2008-05-01,45.9
29,2008-06-01,46.5
30,2008-07-01,48.6
31,2008-08-01,50.6
32,2008-09-01,54.8
33,2008-10-01,55.5
34,2008-11-01,54.5
35,2008-12-01,55.0
36,2009-01-01,54.5
37,2009-02-01,53.9
38,2009-03-01,53.5
39,2009-04-01,52.7
40,2009-05-01,52.5
41,2009-06-01,52.9
42,2009-07-01,53.1
43,2009-08-01,53.3
44,2009-09-01,54.8
45,2009-10-01,54.7
46,2009-11-01,55.1
47,2009-12-01,55.3
48,2010-01-01,56.2
49,2010-02-01,56.1
50,2010-03-01,55.5
51,2010-04-01,55.3
52,2010-05-01,55.6
53,2010-06-01,57.5
54,2010-07-01,57.6
55,2010-08-01,59.4
56,2010-09-01,59.7
57,2010-10-01,60.8
58,2010-11-01,62.2
59,2010-12-01,62.3
60,2011-01-01,62.0
61,2011-02-01,61.7
62,2011-03-01,61.3
63,2011-04-01,60.9
64,2011-05-01,63.5
65,2011-06-01,63.2
66,2011-07-01,63.2
67,2011-08-01,64.2
68,2011-09-01,68.7
69,2011-10-01,69.4
70,2011-11-01,69.9
71,2011-12-01,70.2
72,2012-01-01,70.1
73,2012-02-01,69.4
74,2012-03-01,68.8
75,2012-04-01,69.2
76,2012-05-01,70.9
77,2012-06-01,71.8
78,2012-07-01,71.5
79,2012-08-01,73.4
80,2012-09-01,75.4
81,2012-10-01,78.8
82,2012-11-01,78.2
83,2012-12-01,78.0
84,2013-01-01,77.5
85,2013-02-01,76.8
86,2013-03-01,76.5
87,2013-04-01,76.7
88,2013-05-01,74.6
89,2013-06-01,74.1
90,2013-07-01,75.4
91,2013-08-01,78.5
92,2013-09-01,79.9
93,2013-10-01,83.0
94,2013-11-01,83.5
95,2013-12-01,84.1
96,2014-01-01,84.7
97,2014-02-01,84.9
98,2014-03-01,84.9
99,2014-04-01,84.7
100,2014-05-01,84.4
101,2014-06-01,83.4
102,2014-07-01,85.5
103,2014-08-01,86.8
104,2014-09-01,90.4
105,2014-10-01,95.3
106,2014-11-01,97.3
107,2014-12-01,97.8
108,2015-01-01,98.4
109,2015-02-01,98.5
110,2015-03-01,97.8
111,2015-04-01,97.6
112,2015-05-01,97.3
113,2015-06-01,99.0
114,2015-07-01,99.3
115,2015-08-01,100.7
116,2015-09-01,103.7
117,2015-10-01,103.6
118,2015-11-01,102.8
119,2015-12-01,101.3
120,2016-01-01,101.0
121,2016-02-01,99.9
122,2016-03-01,99.2
123,2016-04-01,99.2
124,2016-05-01,98.9
125,2016-06-01,98.4
126,2016-07-01,99.3
127,2016-08-01,99.4
128,2016-09-01,99.6
129,2016-10-01,100.5
130,2016-11-01,103.0
131,2016-12-01,103.0
132,2017-01-01,103.0
133,2017-02-01,103.0
134,2017-03-01,103.2
135,2017-04-01,102.5
136,2017-05-01,102.0
137,2017-06-01,101.4
138,2017-07-01,101.4
139,2017-08-01,105.2
140,2017-09-01,107.0
141,2017-10-01,109.8
142,2017-11-01,109.8
143,2017-12-01,110.6
144,2018-01-01,114.6
145,2018-02-01,114.6
146,2018-03-01,116.9
147,2018-04-01,115.9
148,2018-05-01,116.1
149,2018-06-01,116.6
150,2018-07-01,116.5
151,2018-08-01,116.8
152,2018-09-01,118.5
153,2018-10-01,121.9
154,2018-11-01,127.3
155,2018-12-01,128.7
156,2019-01-01,126.7
157,2019-02-01,127.1
158,2019-03-01,127.1
159,2019-04-01,126.2
160,2019-05-01,126.7
161,2019-06-01,127.0
162,2019-07-01,127.1
163,2019-08-01,131.0
164,2019-09-01,131.9
165,2019-10-01,132.3
166,2019-11-01,132.4
167,2019-12-01,132.8
168,2020-01-01,133.3
169,2020-02-01,133.5
170,2020-03-01,133.5
171,2020-04-01,133.1
172,2020-05-01,133.3
173,2020-06-01,133.6
174,2020-07-01,133.8
175,2020-08-01,134.0
176,2020-09-01,135.7
177,2020-10-01,136.0
178,2020-11-01,137.9
179,2020-12-01,123.1
180,2021-01-01,124.9
181,2021-02-01,126.3
182,2021-03-01,126.4
183,2021-04-01,141.5
184,2021-05-01,139.9
185,2021-06-01,140.1
186,2021-07-01,140.4
187,2021-08-01,143.4
188,2021-09-01,145.4
189,2021-10-01,137.4
190,2021-11-01,139.3
191,2021-12-01,141.9
192,2022-01-01,144.6
193,2022-02-01,145.3
194,2022-03-01,145.0
195,2022-04-01,156.2
196,2022-05-01,154.9
197,2022-06-01,155.6
198,2022-07-01,156.3
