,ds,y
0,2006-01-01,35.9
1,2006-02-01,36.1
2,2006-03-01,36.2
3,2006-04-01,37.1
4,2006-05-01,37.5
5,2006-06-01,37.5
6,2006-07-01,37.5
7,2006-08-01,37.0
8,2006-09-01,37.2
9,2006-10-01,37.3
10,2006-11-01,37.4
11,2006-12-01,37.7
12,2007-01-01,37.8
13,2007-02-01,38.4
14,2007-03-01,38.8
15,2007-04-01,39.3
16,2007-05-01,39.6
17,2007-06-01,39.7
18,2007-07-01,39.9
19,2007-08-01,41.0
20,2007-09-01,41.9
21,2007-10-01,42.8
22,2007-11-01,43.6
23,2007-12-01,44.4
24,2008-01-01,45.3
25,2008-02-01,46.5
26,2008-03-01,48.1
27,2008-04-01,50.8
28,2008-05-01,53.0
29,2008-06-01,53.1
30,2008-07-01,53.1
31,2008-08-01,55.1
32,2008-09-01,55.3
33,2008-10-01,54.7
34,2008-11-01,54.2
35,2008-12-01,54.2
36,2009-01-01,54.7
37,2009-02-01,55.0
38,2009-03-01,56.0
39,2009-04-01,57.2
40,2009-05-01,57.3
41,2009-06-01,56.5
42,2009-07-01,55.7
43,2009-08-01,55.4
44,2009-09-01,55.3
45,2009-10-01,55.2
46,2009-11-01,56.1
47,2009-12-01,56.5
48,2010-01-01,57.8
49,2010-02-01,59.5
50,2010-03-01,60.7
51,2010-04-01,62.0
52,2010-05-01,63.9
53,2010-06-01,62.9
54,2010-07-01,61.2
55,2010-08-01,61.6
56,2010-09-01,61.2
57,2010-10-01,61.4
58,2010-11-01,62.3
59,2010-12-01,63.8
60,2011-01-01,64.8
61,2011-02-01,65.1
62,2011-03-01,64.9
63,2011-04-01,64.8
64,2011-05-01,65.8
65,2011-06-01,66.5
66,2011-07-01,67.0
67,2011-08-01,67.2
68,2011-09-01,67.9
69,2011-10-01,68.2
70,2011-11-01,68.7
71,2011-12-01,69.5
72,2012-01-01,71.4
73,2012-02-01,73.2
74,2012-03-01,74.8
75,2012-04-01,75.2
76,2012-05-01,75.9
77,2012-06-01,76.3
78,2012-07-01,76.7
79,2012-08-01,77.2
80,2012-09-01,78.0
81,2012-10-01,78.5
82,2012-11-01,78.6
83,2012-12-01,79.3
84,2013-01-01,80.7
85,2013-02-01,81.5
86,2013-03-01,82.1
87,2013-04-01,83.1
88,2013-05-01,83.3
89,2013-06-01,83.0
90,2013-07-01,83.1
91,2013-08-01,84.5
92,2013-09-01,85.7
93,2013-10-01,86.9
94,2013-11-01,88.0
95,2013-12-01,89.2
96,2014-01-01,90.3
97,2014-02-01,91.1
98,2014-03-01,91.9
99,2014-04-01,92.8
100,2014-05-01,94.2
101,2014-06-01,94.7
102,2014-07-01,95.1
103,2014-08-01,95.5
104,2014-09-01,96.2
105,2014-10-01,97.0
106,2014-11-01,97.7
107,2014-12-01,98.5
108,2015-01-01,99.1
109,2015-02-01,99.3
110,2015-03-01,99.8
111,2015-04-01,100.4
112,2015-05-01,100.5
113,2015-06-01,100.4
114,2015-07-01,100.1
115,2015-08-01,101.0
116,2015-09-01,100.4
117,2015-10-01,99.9
118,2015-11-01,99.7
119,2015-12-01,99.5
120,2016-01-01,99.7
121,2016-02-01,100.1
122,2016-03-01,100.6
123,2016-04-01,101.7
124,2016-05-01,101.8
125,2016-06-01,101.5
126,2016-07-01,101.6
127,2016-08-01,100.9
128,2016-09-01,100.3
129,2016-10-01,99.7
130,2016-11-01,100.2
131,2016-12-01,100.8
132,2017-01-01,101.7
133,2017-02-01,102.5
134,2017-03-01,103.8
135,2017-04-01,105.0
136,2017-05-01,105.5
137,2017-06-01,105.0
138,2017-07-01,105.0
139,2017-08-01,105.9
140,2017-09-01,106.1
141,2017-10-01,106.5
142,2017-11-01,106.7
143,2017-12-01,107.2
144,2018-01-01,108.7
145,2018-02-01,109.6
146,2018-03-01,110.7
147,2018-04-01,111.4
148,2018-05-01,112.0
149,2018-06-01,112.6
150,2018-07-01,113.2
151,2018-08-01,112.2
152,2018-09-01,112.2
153,2018-10-01,113.2
154,2018-11-01,115.3
155,2018-12-01,116.0
156,2019-01-01,116.6
157,2019-02-01,117.2
158,2019-03-01,118.0
159,2019-04-01,119.2
160,2019-05-01,120.9
161,2019-06-01,121.7
162,2019-07-01,121.5
163,2019-08-01,122.2
164,2019-09-01,122.2
165,2019-10-01,121.8
166,2019-11-01,121.3
167,2019-12-01,122.0
168,2020-01-01,123.2
169,2020-02-01,124.6
170,2020-03-01,125.5
171,2020-04-01,124.8
172,2020-05-01,124.9
173,2020-06-01,125.4
174,2020-07-01,126.0
175,2020-08-01,124.8
176,2020-09-01,124.3
177,2020-10-01,124.8
178,2020-11-01,125.5
179,2020-12-01,124.8
180,2021-01-01,126.1
181,2021-02-01,127.8
182,2021-03-01,128.6
183,2021-04-01,131.7
184,2021-05-01,132.7
185,2021-06-01,133.6
186,2021-07-01,135.3
187,2021-08-01,135.9
188,2021-09-01,136.2
189,2021-10-01,136.9
190,2021-11-01,138.7
191,2021-12-01,141.6
192,2022-01-01,144.5
193,2022-02-01,146.0
194,2022-03-01,147.2
195,2022-04-01,150.7
196,2022-05-01,152.8
197,2022-06-01,155.1
198,2022-07-01,156.5
