,ds,y
0,2006-01-01,66.9
1,2006-02-01,67.0
2,2006-03-01,67.6
3,2006-04-01,67.6
4,2006-05-01,68.4
5,2006-06-01,68.5
6,2006-07-01,68.7
7,2006-08-01,68.3
8,2006-09-01,69.3
9,2006-10-01,69.4
10,2006-11-01,69.5
11,2006-12-01,69.8
12,2007-01-01,70.0
13,2007-02-01,70.0
14,2007-03-01,69.9
15,2007-04-01,69.9
16,2007-05-01,70.0
17,2007-06-01,69.2
18,2007-07-01,69.8
19,2007-08-01,69.6
20,2007-09-01,69.7
21,2007-10-01,70.9
22,2007-11-01,72.2
23,2007-12-01,73.0
24,2008-01-01,73.6
25,2008-02-01,74.0
26,2008-03-01,75.2
27,2008-04-01,75.7
28,2008-05-01,76.2
29,2008-06-01,75.9
30,2008-07-01,75.8
31,2008-08-01,76.6
32,2008-09-01,77.3
33,2008-10-01,78.4
34,2008-11-01,79.3
35,2008-12-01,80.0
36,2009-01-01,80.8
37,2009-02-01,81.4
38,2009-03-01,81.6
39,2009-04-01,81.9
40,2009-05-01,82.5
41,2009-06-01,83.5
42,2009-07-01,83.4
43,2009-08-01,83.8
44,2009-09-01,83.4
45,2009-10-01,83.4
46,2009-11-01,83.5
47,2009-12-01,83.7
48,2010-01-01,83.8
49,2010-02-01,84.3
50,2010-03-01,84.6
51,2010-04-01,84.7
52,2010-05-01,84.9
53,2010-06-01,84.5
54,2010-07-01,84.5
55,2010-08-01,84.8
56,2010-09-01,85.0
57,2010-10-01,85.4
58,2010-11-01,85.6
59,2010-12-01,85.7
60,2011-01-01,85.9
61,2011-02-01,85.9
62,2011-03-01,86.0
63,2011-04-01,86.3
64,2011-05-01,86.6
65,2011-06-01,87.7
66,2011-07-01,87.8
67,2011-08-01,87.9
68,2011-09-01,88.0
69,2011-10-01,88.3
70,2011-11-01,88.4
71,2011-12-01,88.1
72,2012-01-01,87.8
73,2012-02-01,88.3
74,2012-03-01,90.4
75,2012-04-01,90.9
76,2012-05-01,90.8
77,2012-06-01,90.3
78,2012-07-01,90.1
79,2012-08-01,91.1
80,2012-09-01,90.1
81,2012-10-01,90.5
82,2012-11-01,91.2
83,2012-12-01,91.2
84,2013-01-01,91.3
85,2013-02-01,91.3
86,2013-03-01,91.2
87,2013-04-01,91.5
88,2013-05-01,91.2
89,2013-06-01,90.6
90,2013-07-01,90.7
91,2013-08-01,90.9
92,2013-09-01,90.8
93,2013-10-01,91.0
94,2013-11-01,91.4
95,2013-12-01,91.4
96,2014-01-01,91.8
97,2014-02-01,92.1
98,2014-03-01,92.4
99,2014-04-01,92.2
100,2014-05-01,92.9
101,2014-06-01,93.3
102,2014-07-01,93.4
103,2014-08-01,97.3
104,2014-09-01,97.8
105,2014-10-01,98.6
106,2014-11-01,98.6
107,2014-12-01,98.9
108,2015-01-01,99.3
109,2015-02-01,99.4
110,2015-03-01,99.5
111,2015-04-01,99.5
112,2015-05-01,99.5
113,2015-06-01,97.9
114,2015-07-01,97.7
115,2015-08-01,101.1
116,2015-09-01,101.3
117,2015-10-01,101.4
118,2015-11-01,101.8
119,2015-12-01,101.8
120,2016-01-01,101.9
121,2016-02-01,102.0
122,2016-03-01,102.0
123,2016-04-01,102.1
124,2016-05-01,102.1
125,2016-06-01,102.2
126,2016-07-01,102.5
127,2016-08-01,102.6
128,2016-09-01,102.7
129,2016-10-01,101.5
130,2016-11-01,101.5
131,2016-12-01,101.6
132,2017-01-01,101.7
133,2017-02-01,101.7
134,2017-03-01,102.1
135,2017-04-01,103.4
136,2017-05-01,103.4
137,2017-06-01,103.5
138,2017-07-01,103.3
139,2017-08-01,103.6
140,2017-09-01,103.8
141,2017-10-01,104.8
142,2017-11-01,105.2
143,2017-12-01,105.6
144,2018-01-01,105.5
145,2018-02-01,105.6
146,2018-03-01,106.0
147,2018-04-01,106.2
148,2018-05-01,107.4
149,2018-06-01,110.1
150,2018-07-01,111.8
151,2018-08-01,113.2
152,2018-09-01,114.6
153,2018-10-01,115.2
154,2018-11-01,116.5
155,2018-12-01,116.9
156,2019-01-01,117.1
157,2019-02-01,117.2
158,2019-03-01,117.4
159,2019-04-01,118.1
160,2019-05-01,118.6
161,2019-06-01,129.2
162,2019-07-01,129.2
163,2019-08-01,129.4
164,2019-09-01,129.5
165,2019-10-01,127.6
166,2019-11-01,127.7
167,2019-12-01,127.8
168,2020-01-01,127.7
169,2020-02-01,127.8
170,2020-03-01,128.1
171,2020-04-01,127.8
172,2020-05-01,127.9
173,2020-06-01,127.9
174,2020-07-01,127.9
175,2020-08-01,128.2
176,2020-09-01,128.7
177,2020-10-01,128.8
178,2020-11-01,128.8
179,2020-12-01,128.8
180,2021-01-01,128.8
181,2021-02-01,129.0
182,2021-03-01,129.0
183,2021-04-01,129.0
184,2021-05-01,129.3
185,2021-06-01,129.4
186,2021-07-01,130.8
187,2021-08-01,131.9
188,2021-09-01,132.3
189,2021-10-01,132.5
190,2021-11-01,132.7
191,2021-12-01,133.6
192,2022-01-01,133.8
193,2022-02-01,134.8
194,2022-03-01,134.9
195,2022-04-01,135.6
196,2022-05-01,137.1
197,2022-06-01,137.4
198,2022-07-01,137.5
